"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
4.52993965257031e-12,113,1025,"Protein localization ","AT1G01910 AT1G02690 AT1G09330 AT1G14850 AT1G16240 AT1G16920 AT1G24706 AT1G26670 AT1G48440 AT1G69460 AT1G71820 AT1G73030 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24170 AT2G24765 AT2G28800 AT2G30050 AT2G35190 AT2G41620 AT2G46520 AT2G47900 AT3G01340 AT3G03160 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G25040 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G02150 AT4G17530 AT4G19640 AT4G20110 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G18680 AT5G24740 AT5G41940 AT5G46860 AT5G53570 AT5G56290 AT5G62050 AT5G64813 AT1G27970 AT1G49480 AT2G45140 AT3G04340 AT3G12360 AT5G04990 AT5G22640 AT5G55500 AT1G05520 AT1G12470 AT1G13340 AT1G21170 AT1G23900 AT1G48900 AT1G54710 AT1G71270 AT2G05170 AT2G17380 AT2G17980 AT2G19830 AT2G38020 AT2G40430 AT2G45980 AT3G16270 AT3G19190 AT3G21865 AT3G23660 AT4G01395 AT4G01810 AT4G15780 AT4G19490 AT4G21980 AT4G24550 AT4G29160 AT4G32640 AT4G35380 AT4G38200 AT4G38790 AT5G06140 AT5G11980 AT5G21990 AT5G22770 AT5G22780 AT5G24350 AT5G40480 AT5G50460 AT5G57460 AT5G61970 AT3G51670 AT1G79560 AT4G20140 AT5G18525 AT3G63130"
4.52993965257031e-12,112,1013,"Cellular localization ","AT1G01910 AT1G02690 AT1G03140 AT1G05520 AT1G12470 AT1G14850 AT1G16240 AT1G16920 AT1G21170 AT1G22200 AT1G24706 AT1G26670 AT1G27970 AT1G36980 AT1G48440 AT1G51160 AT1G69460 AT1G71270 AT1G71820 AT1G73030 AT1G80680 AT2G03820 AT2G05170 AT2G13540 AT2G17790 AT2G24170 AT2G24765 AT2G26570 AT2G28800 AT2G30050 AT2G35190 AT2G38020 AT2G41620 AT2G46520 AT2G47900 AT3G01340 AT3G03160 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G15640 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G22290 AT3G23660 AT3G25040 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G51720 AT3G55620 AT3G56090 AT3G62560 AT4G01810 AT4G02150 AT4G17530 AT4G19490 AT4G19640 AT4G20110 AT4G27080 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G18680 AT5G24740 AT5G27540 AT5G41940 AT5G46860 AT5G53570 AT5G54440 AT5G56290 AT5G62050 AT5G64813 AT1G49480 AT2G45140 AT2G45980 AT3G04340 AT3G12360 AT5G04990 AT5G06140 AT5G22640 AT5G55500 AT1G23900 AT1G48900 AT2G17380 AT2G17980 AT2G40430 AT3G16270 AT4G24550 AT4G32640 AT4G38790 AT5G22770 AT5G22780 AT5G50460 AT5G61970 AT1G24560 AT5G21990 AT5G24350 AT1G79560 AT2G44490 AT5G18525 AT2G42810 AT3G63130 AT5G42890"
6.85050096031047e-12,78,594,"Intracellular protein transport ","AT1G01910 AT1G02690 AT1G14850 AT1G16240 AT1G16920 AT1G24706 AT1G26670 AT1G69460 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24765 AT2G35190 AT2G41620 AT2G46520 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G02150 AT4G17530 AT4G19640 AT4G20110 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G24740 AT5G41940 AT5G46860 AT5G53570 AT5G56290 AT5G64813 AT1G27970 AT2G28800 AT2G45140 AT3G04340 AT5G22640 AT5G55500 AT1G05520 AT1G12470 AT1G23900 AT1G48440 AT1G48900 AT2G05170 AT2G17380 AT2G38020 AT2G40430 AT3G03160 AT3G16270 AT3G23660 AT4G01810 AT4G24550 AT4G32640 AT5G22770 AT5G22780 AT5G50460 AT5G61970 AT1G79560 AT5G06140 AT5G18525 AT5G24350 AT2G45980 AT3G63130"
1.01999158720419e-11,131,1284,"Macromolecule localization ","AT1G01910 AT1G02690 AT1G03140 AT1G09330 AT1G13210 AT1G14850 AT1G16240 AT1G16920 AT1G24706 AT1G26670 AT1G48440 AT1G69460 AT1G71820 AT1G73030 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24170 AT2G24765 AT2G28800 AT2G30050 AT2G35190 AT2G41620 AT2G46520 AT2G47900 AT3G01340 AT3G03160 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G25040 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G02150 AT4G17530 AT4G19640 AT4G20110 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G18680 AT5G24740 AT5G41940 AT5G46860 AT5G53570 AT5G56290 AT5G62050 AT5G64813 AT1G27970 AT1G49480 AT1G71960 AT2G45140 AT3G04340 AT3G12360 AT3G12740 AT5G04990 AT5G22640 AT5G55500 AT1G05520 AT1G12470 AT1G13340 AT1G21170 AT1G23900 AT1G42470 AT1G48900 AT1G51510 AT1G53590 AT1G54710 AT1G71270 AT2G05170 AT2G17380 AT2G17980 AT2G19830 AT2G38020 AT2G40430 AT2G45810 AT2G45980 AT3G16270 AT3G19190 AT3G21865 AT3G23660 AT3G61240 AT4G00660 AT4G01395 AT4G01810 AT4G08690 AT4G14300 AT4G15780 AT4G19490 AT4G21980 AT4G24550 AT4G29160 AT4G32640 AT4G35380 AT4G38200 AT4G38790 AT5G01870 AT5G02530 AT5G06140 AT5G11980 AT5G21990 AT5G22770 AT5G22780 AT5G24350 AT5G40480 AT5G50460 AT5G57460 AT5G61970 AT3G51670 AT1G01050 AT1G27130 AT1G79560 AT2G44490 AT4G20140 AT5G18525 AT3G63130 AT5G42890"
2.1705277765512e-11,231,2779,"Establishment of localization ","AT1G01910 AT1G02690 AT1G05520 AT1G06470 AT1G08920 AT1G09330 AT1G12470 AT1G13210 AT1G14040 AT1G14360 AT1G14850 AT1G16240 AT1G16920 AT1G21170 AT1G21660 AT1G22200 AT1G24706 AT1G26670 AT1G27970 AT1G30450 AT1G31120 AT1G36980 AT1G44100 AT1G48440 AT1G51160 AT1G58360 AT1G60490 AT1G60960 AT1G69460 AT1G70940 AT1G71270 AT1G71820 AT1G71960 AT1G73030 AT1G73590 AT1G80680 AT2G01420 AT2G03820 AT2G05170 AT2G13540 AT2G17790 AT2G24765 AT2G25760 AT2G26570 AT2G28800 AT2G30050 AT2G35190 AT2G37280 AT2G37360 AT2G38020 AT2G38170 AT2G39350 AT2G40540 AT2G41620 AT2G46520 AT2G47160 AT3G01340 AT3G03160 AT3G07560 AT3G07950 AT3G08960 AT3G10650 AT3G13320 AT3G13860 AT3G15640 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G19640 AT3G20920 AT3G21250 AT3G22290 AT3G23660 AT3G24300 AT3G25040 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G51720 AT3G53510 AT3G55620 AT3G56090 AT3G60330 AT3G62560 AT4G01810 AT4G02150 AT4G12770 AT4G12780 AT4G17530 AT4G19490 AT4G19640 AT4G20110 AT4G21910 AT4G23640 AT4G27080 AT4G32910 AT4G35380 AT4G38200 AT4G38760 AT5G01590 AT5G05570 AT5G06120 AT5G08080 AT5G09400 AT5G11980 AT5G12080 AT5G16830 AT5G18190 AT5G24740 AT5G27540 AT5G41940 AT5G44100 AT5G46860 AT5G53570 AT5G54440 AT5G56290 AT5G57090 AT5G62050 AT5G62670 AT5G63850 AT5G64813 AT1G72130 AT2G26510 AT2G39510 AT2G45140 AT2G45980 AT3G04340 AT3G12740 AT3G13710 AT4G04340 AT4G29160 AT4G37640 AT4G39460 AT5G06140 AT5G13490 AT5G22640 AT5G55500 AT5G64290 AT1G05940 AT1G13340 AT1G23900 AT1G42470 AT1G44750 AT1G48230 AT1G48900 AT1G51510 AT1G53590 AT1G54710 AT1G57990 AT1G73220 AT2G17380 AT2G17980 AT2G19830 AT2G23980 AT2G28520 AT2G30200 AT2G34357 AT2G37460 AT2G39450 AT2G39970 AT2G40430 AT2G45810 AT2G47600 AT3G01100 AT3G05280 AT3G06130 AT3G11320 AT3G16270 AT3G19190 AT3G21865 AT3G28345 AT3G61240 AT4G00660 AT4G00900 AT4G01395 AT4G08690 AT4G14300 AT4G15780 AT4G16380 AT4G21980 AT4G24550 AT4G32390 AT4G32400 AT4G32640 AT4G32650 AT4G35920 AT4G37270 AT4G39850 AT5G01870 AT5G02530 AT5G19090 AT5G21990 AT5G22770 AT5G22780 AT5G23980 AT5G24350 AT5G40480 AT5G50460 AT5G54280 AT5G57460 AT5G57940 AT5G61970 AT5G65650 AT3G60320 AT1G24560 AT3G51670 AT4G02450 AT4G38360 AT5G57130 AT1G20823 AT1G24460 AT1G79560 AT2G17990 AT2G18790 AT2G43800 AT3G09070 AT4G04950 AT4G07410 AT4G08920 AT4G20140 AT5G04990 AT5G11110 AT5G18525 AT5G19530 AT5G54310 AT5G56750 AT2G42810 AT3G63130 AT5G42890"
2.5217707410042e-11,228,2738,"Transport ","AT1G01910 AT1G02690 AT1G05520 AT1G06470 AT1G08920 AT1G09330 AT1G12470 AT1G13210 AT1G14040 AT1G14360 AT1G14850 AT1G16240 AT1G16920 AT1G21170 AT1G21660 AT1G22200 AT1G24706 AT1G26670 AT1G27970 AT1G30450 AT1G31120 AT1G36980 AT1G44100 AT1G48440 AT1G51160 AT1G58360 AT1G60490 AT1G60960 AT1G69460 AT1G70940 AT1G71270 AT1G71820 AT1G71960 AT1G73030 AT1G73590 AT1G80680 AT2G01420 AT2G03820 AT2G05170 AT2G13540 AT2G17790 AT2G24765 AT2G25760 AT2G30050 AT2G35190 AT2G37280 AT2G37360 AT2G38020 AT2G38170 AT2G39350 AT2G40540 AT2G41620 AT2G46520 AT2G47160 AT3G01340 AT3G03160 AT3G07560 AT3G07950 AT3G08960 AT3G10650 AT3G13320 AT3G13860 AT3G15640 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G19640 AT3G20920 AT3G21250 AT3G22290 AT3G23660 AT3G24300 AT3G25040 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G53510 AT3G55620 AT3G56090 AT3G60330 AT3G62560 AT4G01810 AT4G02150 AT4G12770 AT4G12780 AT4G17530 AT4G19490 AT4G19640 AT4G20110 AT4G21910 AT4G23640 AT4G27080 AT4G32910 AT4G35380 AT4G38200 AT4G38760 AT5G01590 AT5G05570 AT5G06120 AT5G08080 AT5G09400 AT5G11980 AT5G12080 AT5G16830 AT5G18190 AT5G24740 AT5G27540 AT5G41940 AT5G44100 AT5G46860 AT5G53570 AT5G54440 AT5G56290 AT5G57090 AT5G62670 AT5G63850 AT5G64813 AT1G72130 AT2G26510 AT2G28800 AT2G39510 AT2G45140 AT2G45980 AT3G04340 AT3G12740 AT3G13710 AT4G04340 AT4G29160 AT4G37640 AT4G39460 AT5G06140 AT5G13490 AT5G22640 AT5G55500 AT5G64290 AT1G05940 AT1G13340 AT1G23900 AT1G42470 AT1G44750 AT1G48230 AT1G48900 AT1G51510 AT1G53590 AT1G54710 AT1G57990 AT1G73220 AT2G17380 AT2G17980 AT2G19830 AT2G23980 AT2G28520 AT2G30200 AT2G34357 AT2G37460 AT2G39450 AT2G39970 AT2G40430 AT2G45810 AT2G47600 AT3G01100 AT3G05280 AT3G06130 AT3G11320 AT3G16270 AT3G19190 AT3G21865 AT3G28345 AT3G61240 AT4G00660 AT4G00900 AT4G01395 AT4G08690 AT4G14300 AT4G15780 AT4G16380 AT4G21980 AT4G24550 AT4G32390 AT4G32400 AT4G32640 AT4G32650 AT4G35920 AT4G37270 AT4G39850 AT5G01870 AT5G02530 AT5G19090 AT5G21990 AT5G22770 AT5G22780 AT5G23980 AT5G24350 AT5G40480 AT5G50460 AT5G54280 AT5G57460 AT5G57940 AT5G61970 AT5G62050 AT5G65650 AT3G60320 AT1G24560 AT3G51670 AT4G02450 AT4G38360 AT5G57130 AT1G20823 AT1G24460 AT1G79560 AT2G17990 AT2G18790 AT2G43800 AT3G09070 AT4G04950 AT4G07410 AT4G08920 AT4G20140 AT5G11110 AT5G18525 AT5G19530 AT5G54310 AT5G56750 AT2G42810 AT3G63130 AT5G42890"
4.46018805241209e-11,90,767,"Cellular protein localization ","AT1G01910 AT1G02690 AT1G14850 AT1G16240 AT1G16920 AT1G24706 AT1G26670 AT1G48440 AT1G69460 AT1G71820 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24170 AT2G24765 AT2G28800 AT2G30050 AT2G35190 AT2G41620 AT2G46520 AT2G47900 AT3G01340 AT3G03160 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G25040 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G02150 AT4G17530 AT4G19640 AT4G20110 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G18680 AT5G24740 AT5G41940 AT5G46860 AT5G53570 AT5G56290 AT5G62050 AT5G64813 AT1G27970 AT1G49480 AT2G45140 AT3G04340 AT3G12360 AT5G04990 AT5G22640 AT5G55500 AT1G05520 AT1G12470 AT1G23900 AT1G48900 AT2G05170 AT2G17380 AT2G38020 AT2G40430 AT3G16270 AT3G23660 AT4G01810 AT4G24550 AT4G32640 AT4G38790 AT5G22770 AT5G22780 AT5G50460 AT5G61970 AT1G79560 AT5G06140 AT5G18525 AT5G24350 AT2G45980 AT3G63130"
5.6559514359197e-11,344,4644,"Protein metabolic process ","AT1G01540 AT1G02560 AT1G03230 AT1G03740 AT1G04210 AT1G04860 AT1G04870 AT1G05890 AT1G08650 AT1G09750 AT1G16890 AT1G17110 AT1G18670 AT1G18890 AT1G21720 AT1G24190 AT1G27530 AT1G32210 AT1G45160 AT1G48490 AT1G48790 AT1G50250 AT1G50490 AT1G51660 AT1G51690 AT1G53050 AT1G53570 AT1G56140 AT1G59890 AT1G60490 AT1G61740 AT1G63700 AT1G72550 AT1G73080 AT1G73500 AT1G75820 AT1G79560 AT1G79650 AT1G80780 AT2G03200 AT2G16750 AT2G17190 AT2G20280 AT2G20860 AT2G22010 AT2G25760 AT2G27350 AT2G30050 AT2G31510 AT2G33170 AT2G35620 AT2G36060 AT2G36170 AT2G41790 AT2G47060 AT2G47970 AT2G48010 AT3G01340 AT3G02540 AT3G04340 AT3G04600 AT3G05090 AT3G06930 AT3G08730 AT3G14290 AT3G14400 AT3G16480 AT3G17205 AT3G17410 AT3G17420 AT3G17510 AT3G18860 AT3G19170 AT3G23310 AT3G25560 AT3G25840 AT3G29160 AT3G48760 AT3G49670 AT3G51630 AT3G51850 AT3G52640 AT3G52890 AT3G54400 AT3G54650 AT3G59080 AT3G60250 AT3G63000 AT4G01320 AT4G02010 AT4G03190 AT4G04720 AT4G05200 AT4G08850 AT4G10450 AT4G10730 AT4G14800 AT4G17040 AT4G17270 AT4G17640 AT4G17870 AT4G19670 AT4G20110 AT4G20140 AT4G26300 AT4G26540 AT4G26840 AT4G26870 AT4G26940 AT4G28470 AT4G30890 AT4G31300 AT4G33080 AT4G39270 AT4G39280 AT4G39520 AT5G02050 AT5G02310 AT5G02790 AT5G05440 AT5G05780 AT5G06460 AT5G13650 AT5G14250 AT5G14950 AT5G15020 AT5G15400 AT5G15730 AT5G18190 AT5G18230 AT5G18410 AT5G19120 AT5G19180 AT5G19450 AT5G22250 AT5G25754 AT5G26860 AT5G30510 AT5G35430 AT5G37540 AT5G38830 AT5G40250 AT5G40580 AT5G41370 AT5G42270 AT5G43010 AT5G44090 AT5G44100 AT5G45390 AT5G45620 AT5G47540 AT5G47880 AT5G53160 AT5G53170 AT5G55160 AT5G56340 AT5G57020 AT5G57630 AT5G58450 AT5G60670 AT5G64960 AT5G65760 AT5G66210 AT5G66860 AT5G67250 AT5G67320 AT5G67510 AT1G29340 AT1G77300 AT2G18790 AT2G30360 AT2G43790 AT3G01460 AT3G05200 AT3G45640 AT3G52450 AT4G08920 AT4G12720 AT4G14570 AT4G22820 AT4G24740 AT4G28650 AT4G32660 AT5G35580 AT5G55500 AT5G60160 AT5G60550 AT1G02100 AT1G05830 AT1G06110 AT1G06900 AT1G07200 AT1G10170 AT1G12760 AT1G13320 AT1G16270 AT1G16710 AT1G18910 AT1G20823 AT1G21780 AT1G25280 AT1G27190 AT1G28350 AT1G32750 AT1G48900 AT1G50030 AT1G50370 AT1G51510 AT1G58684 AT1G59359 AT1G60190 AT1G64880 AT1G66160 AT1G66680 AT1G67880 AT1G68410 AT1G70980 AT1G73260 AT1G73660 AT1G73960 AT1G77750 AT1G77840 AT1G78670 AT1G79570 AT2G02220 AT2G03510 AT2G04390 AT2G17520 AT2G20060 AT2G20450 AT2G22970 AT2G25070 AT2G25140 AT2G25870 AT2G26980 AT2G27210 AT2G29140 AT2G29190 AT2G29200 AT2G29960 AT2G29970 AT2G30600 AT2G31060 AT2G33580 AT2G40270 AT2G42810 AT2G45240 AT2G45810 AT3G02750 AT3G06670 AT3G09100 AT3G13235 AT3G17465 AT3G18520 AT3G20260 AT3G23280 AT3G44750 AT3G45030 AT3G46040 AT3G47910 AT3G49810 AT3G51740 AT3G51770 AT3G54030 AT3G55050 AT3G55620 AT3G56050 AT3G57630 AT3G58460 AT3G59540 AT3G60550 AT3G61110 AT3G61140 AT3G61240 AT3G61600 AT3G63400 AT4G00340 AT4G00660 AT4G01870 AT4G02020 AT4G11240 AT4G12560 AT4G13020 AT4G15180 AT4G15900 AT4G18040 AT4G18640 AT4G18950 AT4G21830 AT4G21980 AT4G25970 AT4G26190 AT4G28400 AT4G31160 AT4G32420 AT4G36080 AT4G37250 AT4G38710 AT5G01530 AT5G05140 AT5G05660 AT5G06750 AT5G10020 AT5G11850 AT5G12120 AT5G13120 AT5G13520 AT5G15740 AT5G18110 AT5G18525 AT5G19000 AT5G20000 AT5G24260 AT5G27420 AT5G35620 AT5G35680 AT5G36210 AT5G37475 AT5G38280 AT5G41180 AT5G43630 AT5G45100 AT5G50000 AT5G50320 AT5G57130 AT5G58300 AT5G60960 AT5G62710 AT5G63160 AT5G63860 AT5G64330 AT5G64670 AT1G43190 AT4G32620 AT1G18260 AT2G26990 AT3G52250 AT4G00830 AT5G24350 AT5G35910 AT5G42970 AT5G55390 AT5G61230 AT5G66570"
6.94835944099094e-11,92,800,"Cellular macromolecule localization ","AT1G01910 AT1G02690 AT1G03140 AT1G14850 AT1G16240 AT1G16920 AT1G24706 AT1G26670 AT1G48440 AT1G69460 AT1G71820 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24170 AT2G24765 AT2G28800 AT2G30050 AT2G35190 AT2G41620 AT2G46520 AT2G47900 AT3G01340 AT3G03160 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G25040 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G02150 AT4G17530 AT4G19640 AT4G20110 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G18680 AT5G24740 AT5G41940 AT5G46860 AT5G53570 AT5G56290 AT5G62050 AT5G64813 AT1G27970 AT1G49480 AT2G45140 AT3G04340 AT3G12360 AT5G04990 AT5G22640 AT5G55500 AT1G05520 AT1G12470 AT1G23900 AT1G48900 AT2G05170 AT2G17380 AT2G38020 AT2G40430 AT3G16270 AT3G23660 AT4G01810 AT4G24550 AT4G32640 AT4G38790 AT5G22770 AT5G22780 AT5G50460 AT5G61970 AT1G79560 AT2G44490 AT5G06140 AT5G18525 AT5G24350 AT2G45980 AT3G63130"
7.68523555653985e-11,250,3121,"Anatomical structure development ","AT1G05520 AT1G20090 AT1G43850 AT1G79560 AT2G24790 AT2G27550 AT2G29960 AT2G45430 AT3G03990 AT3G23660 AT3G44750 AT3G56090 AT3G60250 AT4G01810 AT4G15393 AT4G17640 AT4G23640 AT4G36380 AT5G18410 AT4G02640 AT1G01040 AT1G01510 AT1G15440 AT1G18450 AT1G19520 AT1G28330 AT1G30970 AT1G50030 AT1G50250 AT1G55325 AT1G63700 AT1G73220 AT1G75820 AT1G79350 AT2G06990 AT2G19520 AT2G26990 AT2G37860 AT2G40080 AT3G01670 AT3G04740 AT3G05970 AT3G09070 AT3G12810 AT3G28730 AT3G47620 AT3G49670 AT3G54650 AT3G57650 AT3G61140 AT3G63070 AT3G63310 AT4G00830 AT4G02020 AT4G03190 AT4G07410 AT4G20140 AT4G28650 AT4G37180 AT5G03740 AT5G14250 AT5G16780 AT5G23150 AT5G42270 AT5G42970 AT5G55390 AT5G55500 AT5G65640 AT5G66210 AT1G05620 AT1G28370 AT1G74930 AT2G22900 AT2G28950 AT3G19580 AT3G25710 AT3G27960 AT4G17490 AT4G34410 AT5G47220 AT5G64940 AT1G04870 AT1G07420 AT1G16710 AT1G16890 AT1G31930 AT1G42470 AT1G51660 AT1G59750 AT1G60190 AT1G66400 AT1G71040 AT1G73030 AT1G73590 AT2G39350 AT2G43790 AT2G45680 AT3G06930 AT3G16785 AT3G45640 AT3G48680 AT3G52250 AT3G54560 AT3G57550 AT4G04920 AT4G08850 AT4G08920 AT4G17530 AT4G26540 AT4G26760 AT4G31880 AT4G31920 AT4G33240 AT4G36710 AT4G39800 AT5G04340 AT5G06110 AT5G10170 AT5G15470 AT5G18620 AT5G37020 AT5G46760 AT5G55230 AT5G60450 AT5G63160 AT5G64960 AT5G65810 AT1G01910 AT1G03910 AT1G06230 AT1G07240 AT1G08600 AT1G09330 AT1G10370 AT1G12470 AT1G14360 AT1G17110 AT1G18640 AT1G20823 AT1G24460 AT1G25220 AT1G25560 AT1G27650 AT1G30370 AT1G33240 AT1G49040 AT1G51160 AT1G52410 AT1G60490 AT1G67120 AT1G70940 AT1G71270 AT1G71400 AT1G73500 AT1G75080 AT1G77300 AT1G77740 AT1G78580 AT1G80560 AT2G01420 AT2G13540 AT2G18790 AT2G27100 AT2G35620 AT2G35940 AT2G38020 AT2G38440 AT2G39510 AT2G39800 AT2G45160 AT2G46600 AT3G01460 AT3G05090 AT3G05680 AT3G06810 AT3G09090 AT3G15010 AT3G18990 AT3G19190 AT3G24300 AT3G27060 AT3G27530 AT3G44730 AT3G51630 AT3G51770 AT3G52430 AT3G54280 AT3G55200 AT3G55620 AT3G56860 AT3G57300 AT3G57630 AT3G63210 AT4G01560 AT4G02450 AT4G02940 AT4G10710 AT4G13850 AT4G14040 AT4G14300 AT4G15180 AT4G15900 AT4G18010 AT4G18640 AT4G26300 AT4G28910 AT4G29720 AT4G31160 AT4G35890 AT4G37070 AT4G39850 AT5G01040 AT5G02310 AT5G04560 AT5G04990 AT5G05730 AT5G05780 AT5G05980 AT5G06140 AT5G11110 AT5G11980 AT5G12080 AT5G13680 AT5G15740 AT5G16750 AT5G19530 AT5G20350 AT5G22640 AT5G24530 AT5G24740 AT5G27540 AT5G35700 AT5G42820 AT5G42890 AT5G45390 AT5G49160 AT5G50320 AT5G51060 AT5G52820 AT5G54310 AT5G55300 AT5G57020 AT5G57460 AT5G61230 AT5G63890 AT5G64813 AT5G65683 AT5G65930 AT1G32440 AT4G40090"
8.99668330262373e-11,242,3000,"Localization ","AT1G01910 AT1G02690 AT1G03140 AT1G05520 AT1G06470 AT1G08920 AT1G09330 AT1G12470 AT1G13210 AT1G14040 AT1G14360 AT1G14850 AT1G16240 AT1G16920 AT1G20090 AT1G21170 AT1G21660 AT1G22200 AT1G24706 AT1G26670 AT1G27970 AT1G30450 AT1G31120 AT1G36980 AT1G44100 AT1G48440 AT1G51160 AT1G58360 AT1G60490 AT1G60960 AT1G69460 AT1G70940 AT1G71270 AT1G71820 AT1G71960 AT1G73030 AT1G73590 AT1G80680 AT2G01420 AT2G03820 AT2G05170 AT2G13540 AT2G17790 AT2G24170 AT2G24765 AT2G25760 AT2G26570 AT2G28800 AT2G30050 AT2G35190 AT2G37280 AT2G37360 AT2G38020 AT2G38170 AT2G39350 AT2G40540 AT2G41620 AT2G46520 AT2G47160 AT2G47900 AT3G01340 AT3G03160 AT3G07560 AT3G07950 AT3G08960 AT3G10650 AT3G13320 AT3G13860 AT3G15640 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G19640 AT3G20920 AT3G21250 AT3G22290 AT3G23660 AT3G24300 AT3G25040 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G51720 AT3G53510 AT3G55620 AT3G56090 AT3G60330 AT3G62560 AT4G01810 AT4G02150 AT4G12770 AT4G12780 AT4G17530 AT4G19490 AT4G19640 AT4G20110 AT4G21910 AT4G23640 AT4G27080 AT4G32910 AT4G35380 AT4G38200 AT4G38760 AT5G01590 AT5G05570 AT5G06120 AT5G08080 AT5G09400 AT5G11980 AT5G12080 AT5G16830 AT5G18190 AT5G18680 AT5G24740 AT5G27540 AT5G41940 AT5G44100 AT5G46860 AT5G53570 AT5G54440 AT5G56290 AT5G57090 AT5G62050 AT5G62670 AT5G63850 AT5G64813 AT1G49480 AT1G72130 AT2G26510 AT2G39510 AT2G45140 AT2G45980 AT3G04340 AT3G12360 AT3G12740 AT3G13710 AT4G04340 AT4G29160 AT4G37640 AT4G39460 AT5G04990 AT5G06140 AT5G13490 AT5G22640 AT5G55500 AT5G64290 AT1G05940 AT1G13340 AT1G23900 AT1G42470 AT1G44750 AT1G48230 AT1G48900 AT1G51510 AT1G53590 AT1G54710 AT1G57990 AT1G73220 AT2G17380 AT2G17980 AT2G19830 AT2G23980 AT2G28520 AT2G30200 AT2G34357 AT2G37460 AT2G39450 AT2G39970 AT2G40430 AT2G45810 AT2G47600 AT3G01100 AT3G05280 AT3G06130 AT3G11320 AT3G16270 AT3G19190 AT3G21865 AT3G28345 AT3G61240 AT4G00660 AT4G00900 AT4G01395 AT4G08690 AT4G14300 AT4G15780 AT4G16380 AT4G21980 AT4G24550 AT4G32390 AT4G32400 AT4G32640 AT4G32650 AT4G35920 AT4G37270 AT4G38790 AT4G39850 AT5G01870 AT5G02530 AT5G19090 AT5G21990 AT5G22770 AT5G22780 AT5G23980 AT5G24350 AT5G40480 AT5G50460 AT5G54280 AT5G57460 AT5G57940 AT5G61970 AT5G65650 AT3G60320 AT1G24560 AT3G51670 AT4G02450 AT4G38360 AT5G57130 AT1G01050 AT1G20823 AT1G24460 AT1G27130 AT1G79560 AT2G17990 AT2G18790 AT2G43800 AT2G44490 AT3G09070 AT4G04950 AT4G07410 AT4G08920 AT4G20140 AT5G11110 AT5G18525 AT5G19530 AT5G54310 AT5G56750 AT2G42810 AT3G63130 AT5G42890"
