"","TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","Log2fc_.leaf_FLT.v.leaf_GC.","Log2fc_.leaf_FLT.v.root_FLT.","Log2fc_.leaf_FLT.v.root_GC.","Log2fc_.leaf_GC.v.root_FLT.","Log2fc_.leaf_GC.v.root_GC.","Log2fc_.root_FLT.v.root_GC.","Log2fc_.leaf_GC.v.leaf_FLT.","Log2fc_.root_FLT.v.leaf_FLT.","Log2fc_.root_GC.v.leaf_FLT.","Log2fc_.root_FLT.v.leaf_GC.","Log2fc_.root_GC.v.leaf_GC.","Log2fc_.root_GC.v.root_FLT."
"25","AT1G02050","LAP6",NA,"NM_100085",839280,"3702.AT1G02050.1","GO:0003824, GO:0006629, GO:0006732, GO:0008152, GO:0008202, GO:0008203, GO:0016740, GO:0016829, GO:0044238",-0.605869962,-0.067717854,-0.611885989,0.538152108,-0.006016027,-0.544168135,0.605869962,0.067717854,0.611885989,-0.538152108,0.006016027,0.544168135
"26","AT1G02060",NA,NA,"NM_100086",839279,NA,"GO:0003676, GO:0003723, GO:0003824, GO:0004672, GO:0004872, GO:0005215, GO:0005488, GO:0006464, GO:0006468, GO:0006810, GO:0006886, GO:0008152, GO:0015031, GO:0016301, GO:0016740, GO:0019199, GO:0019538, GO:0022857, GO:0044238, GO:0051179",-0.51383297,-0.192304851,-0.482597119,0.321528118,0.031235851,-0.290292268,0.51383297,0.192304851,0.482597119,-0.321528118,-0.031235851,0.290292268
"27","AT1G02220","ANAC003",NA,"NM_100103",839476,"3702.AT1G02220.1",NA,-2.907904499,0.995426532,-2.540398372,3.903331031,0.367506127,-3.535824903,2.907904499,-0.995426532,2.540398372,-3.903331031,-0.367506127,3.535824903
"28","AT1G02270",NA,NA,"NM_001331330",839381,NA,"GO:0003676, GO:0003824, GO:0004518, GO:0004532, GO:0005488, GO:0006139, GO:0006351, GO:0006357, GO:0006366, GO:0008152, GO:0016787, GO:0016788, GO:0044238, NA",0.376098941,-0.312406589,0.410672479,-0.688505529,0.034573539,0.723079068,-0.376098941,0.312406589,-0.410672479,0.688505529,-0.034573539,-0.723079068
"29","AT1G02290",NA,NA,"NM_100109",839255,NA,"GO:0003676, GO:0003677, GO:0003700, GO:0005488, GO:0006139, GO:0006351, GO:0006357, GO:0006366, GO:0008152, GO:0044238, GO:0001071, GO:0016070, GO:0019219, GO:0050789, GO:0065007",-0.059894221,-0.093094849,0.112239641,-0.033200628,0.172133861,0.205334489,0.059894221,0.093094849,-0.112239641,0.033200628,-0.172133861,-0.205334489
"30","AT1G02330",NA,NA,"NM_100114",839367,NA,NA,-0.261893385,0.182316018,-0.189257987,0.444209404,0.072635399,-0.371574005,0.261893385,-0.182316018,0.189257987,-0.444209404,-0.072635399,0.371574005
"31","AT1G02335","GL22",NA,"NM_001083981",3766642,"3702.AT1G02335.1","GO:0003824, GO:0005618, GO:0006810, GO:0006950, GO:0008152, GO:0009987, GO:0016829, GO:0016831, GO:0030054, GO:0030312, GO:0032501, GO:0032502, GO:0044464, GO:0044707, GO:0048731, GO:0050789, GO:0050896, GO:0051179, GO:0065007, NA",-1.233708592,0.089551235,-0.961272324,1.323259827,0.272436268,-1.050823559,1.233708592,-0.089551235,0.961272324,-1.323259827,-0.272436268,1.050823559
"32","AT1G02360",NA,NA,"NM_001331333",837724,NA,NA,-3.484657912,2.943086731,-3.499048617,6.427744643,-0.014390705,-6.442135348,3.484657912,-2.943086731,3.499048617,-6.427744643,0.014390705,6.442135348
"33","AT1G02370",NA,NA,"NM_100118",837735,NA,"GO:0003676, GO:0003723, GO:0003824, GO:0004672, GO:0004872, GO:0005215, GO:0005488, GO:0006464, GO:0006468, GO:0006810, GO:0006886, GO:0008152, GO:0015031, GO:0016301, GO:0016740, GO:0019199, GO:0019538, GO:0022857, GO:0044238, GO:0051179",-0.190361129,-0.077821951,-0.335449676,0.112539179,-0.145088546,-0.257627725,0.190361129,0.077821951,0.335449676,-0.112539179,0.145088546,0.257627725
"34","AT1G02410",NA,NA,"NM_001331336",839364,NA,NA,0.233665586,-0.01723164,0.395435522,-0.250897226,0.161769936,0.412667162,-0.233665586,0.01723164,-0.395435522,0.250897226,-0.161769936,-0.412667162
"35","AT1G02520","ABCB11",NA,"NM_001331342",839353,"3702.AT1G02520.1",NA,-4.014259453,0.345531338,-4.053443427,4.359790791,-0.039183973,-4.398974765,4.014259453,-0.345531338,4.053443427,-4.359790791,0.039183973,4.398974765
"36","AT1G02660",NA,NA,"NM_100146",839544,NA,NA,3.20620824,1.562749616,2.939270584,-1.643458624,-0.266937657,1.376520967,-3.20620824,-1.562749616,-2.939270584,1.643458624,0.266937657,-1.376520967
"37","AT1G02816",NA,NA,"NM_100162",839308,NA,NA,-0.071327217,-0.24524864,-0.058076977,-0.173921424,0.013250239,0.187171663,0.071327217,0.24524864,0.058076977,0.173921424,-0.013250239,-0.187171663
"38","AT1G02850","BGLU11",NA,"NM_001123745",839435,"3702.AT1G02850.4","GO:0003824, GO:0004553, GO:0008152, GO:0015926, GO:0016787, NA",-0.142220384,0.586581146,0.13871023,0.728801531,0.280930614,-0.447870917,0.142220384,-0.586581146,-0.13871023,-0.728801531,-0.280930614,0.447870917
"39","AT1G02880","TPK1","Encodes a thiamine pyrophosphokinase capable of producing thiamine pyrophosphate from free thiamine.","NM_001123747",839303,"3702.AT1G02880.3","",-0.883995709,-0.395822596,-1.105340239,0.488173113,-0.221344529,-0.709517643,0.883995709,0.395822596,1.105340239,-0.488173113,0.221344529,0.709517643
"40","AT1G02910","LPA1","Mutants defective in this gene were shown to have a reduced PSII content (overall reduction in the levels of several PSII subunits) and a disrupted grana stack structure. The N-terminal half of the protein contains two tetratricopeptide repeat (TPR) motifs that are arranged tandemly, each consisting of a 34-residue degenerate consensus sequence. The  N-terminal sequence is rich in positive and hydroxylated amino acid residues.","NM_001331364",839350,"3702.AT1G02910.1",NA,2.740209893,0.038105161,2.979210607,-2.702104732,0.239000714,2.941105446,-2.740209893,-0.038105161,-2.979210607,2.702104732,-0.239000714,-2.941105446
"41","AT1G02930","ATGST1","Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).","NM_001197964",839515,"3702.AT1G02930.1",NA,2.829260971,1.555882755,3.142113364,-1.273378216,0.312852393,1.586230609,-2.829260971,-1.555882755,-3.142113364,1.273378216,-0.312852393,-1.586230609
"42","AT1G02960",NA,NA,"NM_001035861",839363,NA,NA,-0.132075701,0.005523944,-0.150790304,0.137599645,-0.018714603,-0.156314248,0.132075701,-0.005523944,0.150790304,-0.137599645,0.018714603,0.156314248
"43","AT1G03030",NA,NA,"NM_001331379",839473,NA,"GO:0003824, GO:0005622, GO:0005737, GO:0005829, GO:0006139, GO:0006206, GO:0006796, GO:0006807, GO:0008152, GO:0009058, GO:0009987, GO:0016301, GO:0016740, GO:0044238, GO:0044464",0.328869286,-0.010444281,0.465506041,-0.339313567,0.136636755,0.475950322,-0.328869286,0.010444281,-0.465506041,0.339313567,-0.136636755,-0.475950322
"44","AT1G03150",NA,NA,"NM_100197",839562,NA,"GO:0003824, GO:0005622, GO:0005737, GO:0006464, GO:0006473, GO:0008152, GO:0009987, GO:0016407, GO:0016740, GO:0016746, GO:0019538, GO:0032991, GO:0043234, GO:0044238, GO:0044464, NA",0.006699957,-0.037652597,-0.033728426,-0.044352554,-0.040428383,0.003924171,-0.006699957,0.037652597,0.033728426,0.044352554,0.040428383,-0.003924171
"45","AT1G03160","FZL","A new plant-specific member of the dynamin superfamily; defines a new protein class within the dynamin superfamily of membrane remodeling GTPases that regulates organization of the thylakoid network in plants. Targeted to chloroplasts and associated with thylakoid and envelope membranes as punctate structures. Knockout mutants have abnormalities in chloroplast and thylakoid morphology, including disorganized grana stacks and alterations in the relative proportions of grana and stroma thylakoids. Overexpression of FZL-GFP also conferred defects in thylakoid organization.","NM_001083983",839566,"3702.AT1G03160.1","GO:0003824, GO:0003924, GO:0005488, GO:0005515, GO:0005975, GO:0005976, GO:0006139, GO:0006399, GO:0006412, GO:0008152, GO:0016070, GO:0016787, GO:0019538, GO:0044238",2.352091677,-0.166200094,2.14071229,-2.518291771,-0.211379387,2.306912384,-2.352091677,0.166200094,-2.14071229,2.518291771,0.211379387,-2.306912384
"46","AT1G03190","ATXPD","UV damage and heat induce a common stress response in plants that leads to tissue death and reduced chloroplast function. The UVH6 product is suggested to be a negative regulator of this response.","NM_100201",839557,"3702.AT1G03190.1","GO:0003676, GO:0003678, GO:0003824, GO:0004386, GO:0005488, GO:0006139, GO:0006259, GO:0006281, GO:0006351, GO:0006366, GO:0007049, GO:0007059, GO:0007067, GO:0008152, GO:0009987, GO:0044238, GO:0016070",-0.106495556,-0.00296621,-0.129101129,0.103529346,-0.022605573,-0.126134919,0.106495556,0.00296621,0.129101129,-0.103529346,0.022605573,0.126134919
"47","AT1G03250",NA,NA,"NM_001197968",838557,NA,NA,0.411617561,-0.369391964,0.343716768,-0.781009526,-0.067900794,0.713108732,-0.411617561,0.369391964,-0.343716768,0.781009526,0.067900794,-0.713108732
"48","AT1G03260",NA,NA,"NM_100208",839546,NA,NA,0.328897802,0.158564537,0.364118477,-0.170333265,0.035220675,0.20555394,-0.328897802,-0.158564537,-0.364118477,0.170333265,-0.035220675,-0.20555394
"49","AT1G03310","AtBE2","Encodes a protein with strong similarity to isoamylase (EC:3.2.1.68) however lacks critical residues known to be important for activity. Appears to co localize with ISA1 in the chloroplast isoamylase complex.  Mutations in this gene cause the loss of detectable isoamylase activity and the disruption of normal starch structure. It has been postulated that AtISA2 interacts with AtISA1 to form the Iso1 complex.","NM_100213",839531,NA,"GO:0003824, GO:0004553, GO:0005975, GO:0005976, GO:0005977, GO:0008152, GO:0016160, GO:0016787, GO:0044238",1.695840195,-0.761553531,1.9204682,-2.457393726,0.224628005,2.682021731,-1.695840195,0.761553531,-1.9204682,2.457393726,-0.224628005,-2.682021731
"50","AT1G03330","LSM2",NA,"NM_100215",839526,"3702.AT1G03330.1","GO:0000375, GO:0000398, GO:0003676, GO:0003723, GO:0005488, GO:0005622, GO:0005634, GO:0005737, GO:0006139, GO:0006397, GO:0006807, GO:0008152, GO:0008380, GO:0009987, GO:0016070, GO:0030529, GO:0032991, GO:0043226, GO:0043234, GO:0044238, GO:0044464",0.188659737,0.041985256,0.142180905,-0.146674481,-0.046478832,0.100195649,-0.188659737,-0.041985256,-0.142180905,0.146674481,0.046478832,-0.100195649
"51","AT1G03360","ATRRP4",NA,"NM_100218",839521,"3702.AT1G03360.1","GO:0003676, GO:0003723, GO:0005488, GO:0005622, GO:0006139, GO:0006399, GO:0006401, GO:0006807, GO:0008152, GO:0009056, GO:0009987, GO:0016070, GO:0016072, GO:0032991, GO:0043234, GO:0044085, GO:0044238, GO:0044464, GO:0071840",-0.146084191,-0.074584238,-0.129332184,0.071499954,0.016752007,-0.054747947,0.146084191,0.074584238,0.129332184,-0.071499954,-0.016752007,0.054747947
"52","AT1G03430","AHP5","Encodes AHP5, one of the six Arabidopsis thaliana histidine phosphotransfer proteins (AHPs).  AHPs function as redundant positive regulators of cytokinin signaling.  Members of the AHP gene family include: AT3G21510 (AHP1), AT3G29350 (AHP2), AT5G39340 (AHP3), AT3G16360 (AHP4), AT1G03430 (AHP5) and AT1G80100 (AHP6).","NM_001331411",839506,"3702.AT1G03430.1","GO:0003824, GO:0004871, GO:0005488, GO:0005515, GO:0005622, GO:0005634, GO:0005737, GO:0006796, GO:0007154, GO:0007165, GO:0008152, GO:0009719, GO:0009987, GO:0016301, GO:0016740, GO:0043226, GO:0044464, GO:0050789, GO:0050896, GO:0065007",0.255969293,0.15871063,0.312256673,-0.097258663,0.05628738,0.153546043,-0.255969293,-0.15871063,-0.312256673,0.097258663,-0.05628738,-0.153546043
"53","AT1G03457","AtBRN2",NA,"NM_001331413",839497,NA,NA,-0.473112487,-0.01855707,-0.712637252,0.454555418,-0.239524764,-0.694080182,0.473112487,0.01855707,0.712637252,-0.454555418,0.239524764,0.694080182
"54","AT1G03520",NA,NA,"NM_001083984",839471,NA,"GO:0003824, GO:0005975, GO:0005976, GO:0006464, GO:0006486, GO:0008152, GO:0016740, GO:0016757, GO:0019538, GO:0044238, NA",0.350448882,0.304733433,0.368349221,-0.045715449,0.017900339,0.063615788,-0.350448882,-0.304733433,-0.368349221,0.045715449,-0.017900339,-0.063615788
"55","AT1G03550","AtSCAMP4",NA,"NM_001331416",839464,NA,"GO:0003824, GO:0006810, GO:0006886, GO:0015031, GO:0016740, GO:0008152, GO:0051179",-1.421357229,0.023458834,-1.51426019,1.444816062,-0.092902962,-1.537719024,1.421357229,-0.023458834,1.51426019,-1.444816062,0.092902962,1.537719024
"56","AT1G03560",NA,NA,"NM_100238",839458,NA,"GO:0003676, GO:0003723, GO:0003824, GO:0004672, GO:0004872, GO:0005215, GO:0005488, GO:0006464, GO:0006468, GO:0006810, GO:0006886, GO:0008152, GO:0015031, GO:0016301, GO:0016740, GO:0019199, GO:0019538, GO:0022857, GO:0044238, GO:0051179",-0.094785883,-0.198102751,-0.040405789,-0.103316867,0.054380094,0.157696961,0.094785883,0.198102751,0.040405789,0.103316867,-0.054380094,-0.157696961
"57","AT1G03610",NA,NA,"NM_001331422",838961,NA,NA,1.88451999,1.166668596,2.012078942,-0.717851394,0.127558951,0.845410345,-1.88451999,-1.166668596,-2.012078942,0.717851394,-0.127558951,-0.845410345
"58","AT1G03680","ATHM1","encodes a chloroplast thioredoxin similar to prokaryotic thioredoxins.","NM_179254",839436,"3702.AT1G03680.1","GO:0003824, GO:0005622, GO:0005737, GO:0006457, GO:0006790, GO:0006950, GO:0008152, GO:0009536, GO:0009987, GO:0016491, GO:0019538, GO:0042592, GO:0043226, GO:0044238, GO:0044464, GO:0050789, GO:0050896, GO:0065007, NA",4.557270453,-0.186061729,4.745824501,-4.743332183,0.188554048,4.931886231,-4.557270453,0.186061729,-4.745824501,4.743332183,-0.188554048,-4.931886231
"59","AT1G03687",NA,NA,"NM_100248",839052,NA,NA,0.135802751,-0.164985917,0.327846735,-0.300788668,0.192043985,0.492832652,-0.135802751,0.164985917,-0.327846735,0.300788668,-0.192043985,-0.492832652
"60","AT1G03750","CHR9",NA,"NM_100254",839417,"3702.AT1G03750.1",NA,-0.420718779,0.067793664,-0.543598646,0.488512443,-0.122879867,-0.61139231,0.420718779,-0.067793664,0.543598646,-0.488512443,0.122879867,0.61139231
"61","AT1G03770","ATRING1B","Encodes a nuclear localized protein with similarity to animal polycomb repressive core complex1 (PRC1) core component RING.Appears to function redundantly with ATRING1a, a close paralog. Both interact physically with CLF and LHP1 and appear to function together to repress class I KNOX gene expression.","NM_001197972",839413,"3702.AT1G03770.2","GO:0004842, GO:0006338, GO:0006357, GO:0006464, GO:0003824, GO:0008152, GO:0016874, GO:0019538, GO:0044238",-0.574267574,0.505076635,-0.516768527,1.079344209,0.057499047,-1.021845162,0.574267574,-0.505076635,0.516768527,-1.079344209,-0.057499047,1.021845162
"62","AT1G03780","AtTPX2","Homolog of vertebrate TPX2. Protein has three domains involved in nuclear targeting, one in nuclear export and two in microtubule binding. Involved in mitotic spindle assembly during late prophase and early prometaphase.","NM_001197973",839140,NA,"GO:0005198, GO:0005200, GO:0005488, GO:0005515, GO:0005622, GO:0005856, GO:0005874, GO:0007049, GO:0007059, GO:0007067, GO:0008017, GO:0008092, GO:0009987, GO:0032991, GO:0043226, GO:0043234, GO:0044464",0.140285117,0.201636313,0.075637812,0.061351197,-0.064647304,-0.125998501,-0.140285117,-0.201636313,-0.075637812,-0.061351197,0.064647304,0.125998501
"63","AT1G03840","MGP","MGP is a nuclear-localized putative transcription factor with three zinc finger domains. MGP can interact with three proteins implicated in root patterning: SCR, SHR, and JKD in Y2H assays, and these interactions depend on the first zinc finger in MGP. MGP appears to be a direct transcriptional target of SHR and SCR, based on promoter binding assays, though it is not expressed in the QC, based on in situ hybridizations.","NM_001035874",839396,"3702.AT1G03840.1","GO:0003824, GO:0004672, GO:0006139, GO:0006464, GO:0006468, GO:0008152, GO:0016070, GO:0016072, GO:0016301, GO:0016740, GO:0019538, GO:0044238, NA",-4.456846884,-0.003643076,-4.631335013,4.453203809,-0.174488129,-4.627691938,4.456846884,0.003643076,4.631335013,-4.453203809,0.174488129,4.627691938
"64","AT1G03850","ATGRXS13",NA,"NM_001331442",839392,"3702.AT1G03850.1","GO:0003824, GO:0006790, GO:0008152, GO:0016491",-0.108978141,2.925384638,0.064464804,3.034362779,0.173442944,-2.860919835,0.108978141,-2.925384638,-0.064464804,-3.034362779,-0.173442944,2.860919835
"65","AT1G03905","ABCI19",NA,"NM_001331443",839376,"3702.AT1G03905.1","GO:0003824, GO:0005215, GO:0006810, GO:0016787, GO:0022857, GO:0042626, GO:0008152, GO:0051179",-2.630888264,-0.440312411,-2.646059312,2.190575853,-0.015171048,-2.205746901,2.630888264,0.440312411,2.646059312,-2.190575853,0.015171048,2.205746901
"66","AT1G03920",NA,NA,"NM_001331446",839369,NA,"GO:0003824, GO:0004672, GO:0005622, GO:0006464, GO:0006468, GO:0006796, GO:0007154, GO:0007165, GO:0008152, GO:0009987, GO:0016301, GO:0016740, GO:0019538, GO:0035556, GO:0044238, GO:0044464, GO:0050789, GO:0050896, GO:0065007",-3.012582098,0.201345257,-3.397502408,3.213927354,-0.384920311,-3.598847665,3.012582098,-0.201345257,3.397502408,-3.213927354,0.384920311,3.598847665
"67","AT1G03940",NA,NA,"NM_100275",839366,NA,NA,-0.216396881,-0.373973411,-0.1551599,-0.15757653,0.061236981,0.218813511,0.216396881,0.373973411,0.1551599,0.15757653,-0.061236981,-0.218813511
"68","AT1G03960",NA,NA,"NM_001331448",839361,NA,"GO:0003824, GO:0004721, GO:0006464, GO:0008152, GO:0009987, GO:0016787, GO:0016788, GO:0016791, GO:0019538, GO:0044238",-0.276677075,-0.05796673,-0.367659972,0.218710345,-0.090982897,-0.309693242,0.276677075,0.05796673,0.367659972,-0.218710345,0.090982897,0.309693242
"69","AT1G04000",NA,NA,"NM_100281",839339,NA,NA,-0.056163539,-0.662846785,-0.049850116,-0.606683245,0.006313424,0.612996669,0.056163539,0.662846785,0.049850116,0.606683245,-0.006313424,-0.612996669
"70","AT1G04010","ATPSAT1",NA,"NM_100282",839335,"3702.AT1G04010.1","GO:0003824, GO:0006629, GO:0008152, GO:0008202, GO:0008203, GO:0016740, GO:0016746, GO:0044238",-0.663557084,0.089681106,-0.759891026,0.753238189,-0.096333942,-0.849572131,0.663557084,-0.089681106,0.759891026,-0.753238189,0.096333942,0.849572131
