"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
8.94009600551023e-05,18,37,"Mitotic cell cycle checkpoint ","AT1G02970 AT1G07270 AT1G08400 AT1G49910 AT1G69400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G05480 AT3G24495 AT3G47700 AT4G12620 AT4G30870 AT5G05510 AT5G54260 AT5G66130 AT5G52950"
0.000111713566126681,16,31,"G2/M transition of mitotic cell cycle ","AT1G07270 AT1G08400 AT1G27880 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G54260 AT5G66130 AT5G52950 AT5G11300 AT2G31580 AT3G18730"
0.000111713566126681,83,354,"DNA repair ","AT1G03190 AT1G05900 AT1G10520 AT1G10930 AT1G11800 AT1G12370 AT1G20720 AT1G24290 AT1G27880 AT1G49980 AT1G67500 AT1G77600 AT2G20960 AT2G22260 AT2G31870 AT3G02680 AT3G05740 AT3G24495 AT3G27120 AT3G48425 AT3G52115 AT3G59550 AT4G02390 AT4G12740 AT4G14970 AT4G21070 AT4G25120 AT4G30870 AT4G35110 AT4G35740 AT5G01630 AT5G07810 AT5G15170 AT5G21140 AT5G22110 AT5G40840 AT5G41360 AT5G44740 AT5G50340 AT5G54260 AT5G57160 AT5G57450 AT5G63540 AT2G21800 AT3G19210 AT5G22750 AT1G03750 AT1G16590 AT1G18090 AT1G19100 AT1G50840 AT1G65070 AT1G66730 AT1G77620 AT1G78790 AT2G14050 AT2G18760 AT3G05480 AT3G07930 AT3G09660 AT3G15620 AT3G28030 AT3G47830 AT3G48900 AT4G18470 AT4G21065 AT4G29560 AT5G07400 AT5G40820 AT5G50780 AT5G50930 AT5G54090 AT5G61460 AT5G64520 AT5G64630 AT5G66130 AT4G00380 AT3G13782 AT5G08110 AT1G08840 AT3G16730 AT4G29170 AT5G21900"
0.000111713566126681,31,90,"Negative regulation of cell cycle ","AT1G02970 AT1G07270 AT1G08180 AT1G08400 AT1G49910 AT1G51355 AT1G69400 AT1G77320 AT1G77620 AT2G28870 AT2G29680 AT3G02680 AT3G05480 AT3G10525 AT3G24495 AT3G27630 AT3G47700 AT4G12620 AT4G17760 AT4G21070 AT4G30870 AT5G01630 AT5G05510 AT5G40820 AT5G54260 AT5G66130 AT1G49620 AT5G48820 AT5G52950 AT3G27120 AT5G45610"
0.00020509901205959,21,51,"Cell cycle checkpoint ","AT1G02970 AT1G07270 AT1G08400 AT1G49910 AT1G69400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G05480 AT3G24495 AT3G47700 AT4G12620 AT4G17760 AT4G30870 AT5G01630 AT5G05510 AT5G40820 AT5G54260 AT5G66130 AT5G52950"
0.00020509901205959,15,29,"Negative regulation of cell cycle phase transition ","AT1G07270 AT1G08400 AT1G49910 AT1G69400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G05510 AT5G54260 AT5G66130 AT5G52950"
0.00020509901205959,15,29,"Negative regulation of mitotic cell cycle phase transition ","AT1G07270 AT1G08400 AT1G49910 AT1G69400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G05510 AT5G54260 AT5G66130 AT5G52950"
0.000289023661614588,41,142,"Photosynthesis, light reaction ","AT1G02910 AT1G05385 AT1G06430 AT1G15820 AT1G29910 AT1G61520 AT2G15820 AT3G61470 AT4G10340 AT5G42270 AT5G48790 AT1G08380 AT2G45870 AT3G61320 AT2G34910 AT3G55250 AT4G11960 AT5G59400 ATCG00020 ATCG00220 ATCG00280 ATCG00440 ATCG00680 ATCG01090 ATCG01100 AT1G55370 AT1G55670 AT1G68830 AT1G71500 AT2G34860 AT3G08010 AT4G15510 AT4G25910 AT4G31390 AT5G01920 AT5G24120 AT5G35220 AT5G39830 AT5G57050 AT1G06680 ATCG00520"
0.000311923434555978,15,30,"Regulation of cell cycle G2/M phase transition ","AT1G07270 AT1G08400 AT1G27880 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G54260 AT5G66130 AT5G52950 AT5G11300 AT4G32700"
0.000480668220035563,36,121,"Double-strand break repair ","AT1G10520 AT1G10930 AT1G11800 AT1G20720 AT1G27880 AT2G20960 AT3G02680 AT3G05740 AT3G27120 AT3G52115 AT3G59550 AT4G02390 AT4G21070 AT4G30870 AT4G35110 AT4G35740 AT5G01630 AT5G15170 AT5G21140 AT5G40840 AT5G54260 AT5G57160 AT5G57450 AT5G63540 AT3G19210 AT5G22750 AT5G61460 AT5G64520 AT4G00380 AT3G09660 AT3G13782 AT1G66730 AT4G14970 AT4G29170 AT5G40820 AT5G64630"
0.000480668220035563,22,58,"Negative regulation of cell cycle process ","AT1G07270 AT1G08180 AT1G08400 AT1G49910 AT1G51355 AT1G69400 AT1G77320 AT1G77620 AT2G28870 AT2G29680 AT3G02680 AT3G10525 AT3G24495 AT3G27630 AT3G47700 AT4G12620 AT5G01630 AT5G05510 AT5G54260 AT5G66130 AT5G52950 AT3G27120"
0.000907536578754532,11,19,"DNA damage checkpoint ","AT1G08400 AT1G77620 AT3G02680 AT3G05480 AT3G24495 AT3G47700 AT4G17760 AT4G30870 AT5G40820 AT5G54260 AT5G66130"
0.000907536578754532,14,29,"Regulation of G2/M transition of mitotic cell cycle ","AT1G07270 AT1G08400 AT1G27880 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G54260 AT5G66130 AT5G52950 AT5G11300"
0.000907536578754532,21,56,"Mitotic cell cycle phase transition ","AT1G07270 AT1G08400 AT1G27880 AT1G49910 AT1G69400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G05510 AT5G05560 AT5G41360 AT5G54260 AT5G66130 AT5G52950 AT5G11300 AT2G31580 AT3G18730"
0.000945803340613442,571,3532,"Macromolecule modification ","AT1G01860 AT1G03920 AT1G03930 AT1G03960 AT1G07870 AT1G09000 AT1G09440 AT1G11050 AT1G11540 AT1G11950 AT1G12730 AT1G13870 AT1G16330 AT1G16480 AT1G16670 AT1G17750 AT1G18670 AT1G21590 AT1G24320 AT1G26150 AT1G26810 AT1G26900 AT1G27120 AT1G28390 AT1G29710 AT1G29730 AT1G29740 AT1G29750 AT1G30545 AT1G30640 AT1G33260 AT1G34160 AT1G35710 AT1G45231 AT1G49160 AT1G49180 AT1G49730 AT1G50000 AT1G50700 AT1G53430 AT1G53440 AT1G53700 AT1G53950 AT1G54450 AT1G54840 AT1G55610 AT1G56130 AT1G57700 AT1G60360 AT1G61360 AT1G61370 AT1G61380 AT1G61420 AT1G61430 AT1G61500 AT1G62310 AT1G66050 AT1G66520 AT1G68690 AT1G70460 AT1G70520 AT1G70740 AT1G71460 AT1G71530 AT1G72180 AT1G72220 AT1G72530 AT1G73690 AT1G74330 AT1G75820 AT1G77170 AT1G77280 AT1G78010 AT1G79640 AT1G80640 AT2G01905 AT2G13440 AT2G13600 AT2G13800 AT2G18890 AT2G21130 AT2G22260 AT2G22410 AT2G24530 AT2G25220 AT2G25737 AT2G27760 AT2G28590 AT2G29640 AT2G29760 AT2G30040 AT2G30320 AT2G31600 AT2G32410 AT2G33540 AT2G33640 AT2G33680 AT2G34650 AT2G35030 AT2G36730 AT2G37310 AT2G40810 AT2G42920 AT3G02130 AT3G04530 AT3G04690 AT3G04750 AT3G05140 AT3G06910 AT3G07060 AT3G07670 AT3G07980 AT3G10070 AT3G10660 AT3G11240 AT3G13380 AT3G14330 AT3G14370 AT3G15890 AT3G18750 AT3G18770 AT3G18930 AT3G18970 AT3G19300 AT3G20930 AT3G23630 AT3G24090 AT3G25560 AT3G25970 AT3G26630 AT3G26782 AT3G28040 AT3G28640 AT3G44610 AT3G46790 AT3G47530 AT3G48260 AT3G49170 AT3G49370 AT3G49600 AT3G49710 AT3G51320 AT3G53090 AT3G53860 AT3G53930 AT3G54930 AT3G55040 AT3G56330 AT3G56440 AT3G58690 AT3G60220 AT4G01026 AT4G01030 AT4G02390 AT4G03230 AT4G04670 AT4G04695 AT4G04700 AT4G04740 AT4G08470 AT4G09770 AT4G10390 AT4G11530 AT4G14050 AT4G16470 AT4G16570 AT4G17895 AT4G18470 AT4G18520 AT4G20130 AT4G20140 AT4G21060 AT4G21065 AT4G21070 AT4G21400 AT4G21430 AT4G22760 AT4G23190 AT4G26070 AT4G27340 AT4G30700 AT4G30825 AT4G31050 AT4G32300 AT4G32430 AT4G32450 AT4G32710 AT4G33950 AT4G33990 AT4G34020 AT4G37170 AT5G01630 AT5G01770 AT5G02780 AT5G05560 AT5G06940 AT5G10440 AT5G11020 AT5G11300 AT5G14660 AT5G15025 AT5G15820 AT5G17240 AT5G17250 AT5G17660 AT5G18610 AT5G19020 AT5G19040 AT5G23170 AT5G23580 AT5G25380 AT5G25930 AT5G28960 AT5G35370 AT5G35410 AT5G37530 AT5G39350 AT5G40440 AT5G41360 AT5G42440 AT5G43790 AT5G44230 AT5G48570 AT5G48910 AT5G50580 AT5G50990 AT5G53890 AT5G55090 AT5G57500 AT5G57670 AT5G58580 AT5G59700 AT5G60250 AT5G61480 AT5G61540 AT5G63710 AT5G65450 AT5G65710 AT5G66360 AT5G66450 AT5G67410 AT1G08910 AT1G10560 AT1G16540 AT1G21410 AT1G27910 AT1G49620 AT1G68330 AT2G05940 AT2G22740 AT2G31650 AT2G33290 AT2G35160 AT2G40120 AT2G43850 AT3G04380 AT3G11470 AT3G18710 AT3G19280 AT3G20860 AT3G23610 AT3G52450 AT3G59410 AT3G59700 AT4G28890 AT5G23320 AT5G35580 AT5G38210 AT5G42200 AT5G48820 AT5G50860 AT5G57050 AT5G60280 AT1G01140 AT1G01450 AT1G01670 AT1G02970 AT1G03010 AT1G03190 AT1G04050 AT1G04310 AT1G04360 AT1G05700 AT1G06840 AT1G07560 AT1G08180 AT1G08280 AT1G09800 AT1G10230 AT1G12460 AT1G13270 AT1G14260 AT1G14370 AT1G14970 AT1G15820 AT1G16150 AT1G16160 AT1G18030 AT1G18170 AT1G19340 AT1G20550 AT1G20780 AT1G20810 AT1G22460 AT1G24330 AT1G25390 AT1G26970 AT1G29200 AT1G29910 AT1G30810 AT1G31350 AT1G31810 AT1G32740 AT1G37150 AT1G38065 AT1G45180 AT1G45248 AT1G47056 AT1G48040 AT1G48120 AT1G49230 AT1G49710 AT1G51355 AT1G51790 AT1G51840 AT1G51860 AT1G53025 AT1G54960 AT1G55250 AT1G56345 AT1G59560 AT1G60700 AT1G61280 AT1G61520 AT1G62950 AT1G63450 AT1G63490 AT1G65950 AT1G66660 AT1G66880 AT1G67410 AT1G67510 AT1G67530 AT1G67820 AT1G67900 AT1G68830 AT1G69670 AT1G71810 AT1G73450 AT1G75060 AT1G76390 AT1G77000 AT1G79110 AT1G79570 AT1G79600 AT1G80110 AT1G80570 AT1G80630 AT2G01620 AT2G03280 AT2G04660 AT2G15300 AT2G15370 AT2G17220 AT2G18915 AT2G23140 AT2G25050 AT2G26000 AT2G27060 AT2G28830 AT2G28870 AT2G28960 AT2G28970 AT2G28990 AT2G30695 AT2G31010 AT2G31580 AT2G33580 AT2G34920 AT2G34980 AT2G35350 AT2G35710 AT2G36370 AT2G36570 AT2G37150 AT2G37710 AT2G37980 AT2G39110 AT2G40860 AT2G42260 AT2G42290 AT2G42640 AT2G43560 AT2G45270 AT2G46160 AT2G46495 AT3G01480 AT3G01840 AT3G03750 AT3G06950 AT3G07525 AT3G07550 AT3G08020 AT3G08505 AT3G08570 AT3G09830 AT3G10525 AT3G10550 AT3G16320 AT3G16560 AT3G16720 AT3G17250 AT3G18773 AT3G23150 AT3G24190 AT3G25740 AT3G27630 AT3G29010 AT3G42180 AT3G44820 AT3G44850 AT3G45420 AT3G46330 AT3G46400 AT3G46920 AT3G46930 AT3G47180 AT3G47570 AT3G47820 AT3G48190 AT3G49060 AT3G50230 AT3G51470 AT3G52180 AT3G53590 AT3G53810 AT3G53840 AT3G54100 AT3G55550 AT3G57120 AT3G57720 AT3G57750 AT3G57830 AT3G58720 AT3G59000 AT3G59420 AT3G59940 AT3G60550 AT3G61470 AT3G62260 AT3G63510 AT4G00070 AT4G00330 AT4G00955 AT4G04960 AT4G09100 AT4G09560 AT4G10340 AT4G11330 AT4G11920 AT4G11990 AT4G12020 AT4G13990 AT4G16250 AT4G17483 AT4G18130 AT4G19830 AT4G21350 AT4G22350 AT4G22580 AT4G22910 AT4G23450 AT4G24480 AT4G24810 AT4G25390 AT4G26555 AT4G26980 AT4G27910 AT4G30370 AT4G30640 AT4G30940 AT4G31250 AT4G31390 AT4G32790 AT4G33500 AT4G34220 AT4G35480 AT4G36550 AT4G38020 AT4G40000 AT4G40070 AT5G01560 AT5G01700 AT5G01880 AT5G01920 AT5G02070 AT5G02400 AT5G05510 AT5G06740 AT5G07070 AT5G07150 AT5G08139 AT5G09230 AT5G09630 AT5G09800 AT5G10900 AT5G13410 AT5G13830 AT5G14480 AT5G15710 AT5G19670 AT5G21140 AT5G21900 AT5G24870 AT5G24970 AT5G25110 AT5G26040 AT5G27420 AT5G35840 AT5G37000 AT5G38070 AT5G40470 AT5G40820 AT5G41240 AT5G41330 AT5G43420 AT5G44930 AT5G45700 AT5G46650 AT5G47070 AT5G48130 AT5G48170 AT5G49610 AT5G50110 AT5G50330 AT5G51350 AT5G51370 AT5G51380 AT5G51450 AT5G53320 AT5G53920 AT5G55220 AT5G55830 AT5G57610 AT5G58150 AT5G58160 AT5G58550 AT5G59220 AT5G59680 AT5G59800 AT5G60050 AT5G61560 AT5G62220 AT5G67140 AT5G67340 ATCG00020 ATCG00280 ATCG00680 AT4G00380 AT5G55760 AT5G56780 AT1G09320 AT1G19100 AT1G47580 AT2G16390 AT3G06290 AT3G12580 AT4G31270 AT5G17790 AT5G50780 AT4G33620"
0.0013555359077151,12,23,"Response to ionizing radiation ","AT3G05480 AT5G52950 AT3G02680 AT3G19210 AT3G52115 AT4G21070 AT1G66730 AT2G18760 AT4G29170 AT5G40820 AT5G57160 AT5G61460"
0.00137992738015767,48,189,"DNA recombination ","AT1G03190 AT1G10930 AT1G20720 AT1G24290 AT1G27880 AT1G78790 AT2G20960 AT3G02680 AT3G02930 AT3G05740 AT3G24495 AT3G27120 AT3G52115 AT4G21070 AT4G25120 AT4G29170 AT4G30870 AT4G32190 AT4G35110 AT4G35740 AT5G01630 AT5G21140 AT5G41360 AT5G50340 AT5G50930 AT5G54260 AT5G57450 AT5G63540 AT2G21800 AT3G19210 AT5G22750 AT1G12790 AT1G13330 AT1G30010 AT1G65070 AT1G66730 AT3G05850 AT4G18470 AT5G54090 AT5G57160 AT5G61460 AT5G64520 AT5G64630 AT4G00380 AT3G09660 AT3G13782 AT4G14970 AT4G32700"
0.00141640647059287,229,1281,"Protein phosphorylation ","AT1G03920 AT1G03930 AT1G07870 AT1G09000 AT1G09440 AT1G11050 AT1G16330 AT1G16670 AT1G17750 AT1G18670 AT1G21590 AT1G26150 AT1G28390 AT1G29730 AT1G29740 AT1G29750 AT1G30640 AT1G33260 AT1G35710 AT1G49160 AT1G49180 AT1G49730 AT1G50700 AT1G53430 AT1G53440 AT1G53700 AT1G55610 AT1G56130 AT1G57700 AT1G61360 AT1G61370 AT1G61380 AT1G61420 AT1G61430 AT1G61500 AT1G68690 AT1G70460 AT1G70520 AT1G70740 AT1G71530 AT1G72180 AT1G73690 AT1G74330 AT1G75820 AT1G77280 AT1G79640 AT1G80640 AT2G01905 AT2G13800 AT2G18890 AT2G21130 AT2G25220 AT2G28590 AT2G30040 AT2G34650 AT3G02130 AT3G04530 AT3G04690 AT3G05140 AT3G07980 AT3G10660 AT3G13380 AT3G14370 AT3G15890 AT3G18750 AT3G18770 AT3G19300 AT3G25560 AT3G28040 AT3G44610 AT3G48260 AT3G49370 AT3G53930 AT3G54930 AT3G58690 AT4G03230 AT4G04695 AT4G04700 AT4G04740 AT4G08470 AT4G10390 AT4G11530 AT4G20140 AT4G21400 AT4G23190 AT4G26070 AT4G30825 AT4G32300 AT4G32710 AT4G33950 AT5G01770 AT5G06940 AT5G10440 AT5G11020 AT5G11300 AT5G18610 AT5G23170 AT5G23580 AT5G25380 AT5G25930 AT5G35370 AT5G35410 AT5G40440 AT5G41360 AT5G42440 AT5G53890 AT5G55090 AT5G57670 AT5G59700 AT5G61480 AT5G63710 AT5G65710 AT1G49620 AT1G68330 AT2G05940 AT2G40120 AT2G43850 AT3G20860 AT3G59410 AT3G59700 AT5G35580 AT5G38210 AT5G48820 AT5G50860 AT5G57050 AT5G60280 AT1G01140 AT1G01450 AT1G02970 AT1G03190 AT1G04310 AT1G05700 AT1G06840 AT1G07560 AT1G08180 AT1G12460 AT1G14370 AT1G16150 AT1G16160 AT1G25390 AT1G26970 AT1G51355 AT1G51790 AT1G51840 AT1G51860 AT1G54960 AT1G62950 AT1G65950 AT1G66880 AT1G67510 AT1G68830 AT1G71810 AT1G73450 AT1G79570 AT1G79600 AT2G15300 AT2G17220 AT2G27060 AT2G28870 AT2G28960 AT2G28970 AT2G28990 AT2G31010 AT2G33580 AT2G36570 AT2G37710 AT2G39110 AT2G40860 AT2G42290 AT2G42640 AT3G01840 AT3G09830 AT3G10525 AT3G23150 AT3G24190 AT3G27630 AT3G44850 AT3G45420 AT3G46330 AT3G46400 AT3G46920 AT3G46930 AT3G47570 AT3G48190 AT3G49060 AT3G50230 AT3G53590 AT3G53810 AT3G53840 AT3G55550 AT3G57120 AT3G57720 AT3G57750 AT3G57830 AT3G59420 AT3G60550 AT4G00330 AT4G00955 AT4G04960 AT4G11330 AT4G11990 AT4G12020 AT4G16250 AT4G18130 AT4G24480 AT4G24810 AT4G25390 AT4G31250 AT4G31390 AT4G34220 AT5G01560 AT5G01920 AT5G02070 AT5G05510 AT5G06740 AT5G07070 AT5G07150 AT5G24970 AT5G25110 AT5G40820 AT5G47070 AT5G50330 AT5G51350 AT5G53320 AT5G55830 AT5G57610 AT5G58150 AT5G59680 AT5G61560"
0.0015760868836006,22,63,"Cell cycle phase transition ","AT1G07270 AT1G08400 AT1G27880 AT1G49910 AT1G69400 AT1G77320 AT1G77620 AT2G29680 AT3G02680 AT3G24495 AT3G47700 AT4G12620 AT5G05510 AT5G05560 AT5G41360 AT5G54260 AT5G66130 AT5G52950 AT5G11300 AT2G31580 AT3G18730 AT4G32700"
0.0015760868836006,10,17,"Photosystem I assembly ","AT2G15820 AT2G34910 AT3G55250 AT2G34860 AT3G08010 AT4G15510 AT4G25910 AT5G35220 AT5G42270 ATCG00520"
