_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.9,GO:1901991,negative regulation of mitotic cell cycle phase transition,M1,1,0
1,-2.9,GO:0140053,mitochondrial gene expression,M1,1,0
1,-5.2,GO:0009657,plastid organization,M1,1,0
1,-2.2,GO:0006040,amino sugar metabolic process,M1,1,0
1,-5.6,GO:0140013,meiotic nuclear division,M1,1,0
1,-3.2,GO:0006260,DNA replication,M1,1,0
1,-8.2,GO:0000724,double-strand break repair via homologous recombination,M1,1,0
1,-4.9,GO:0000077,DNA damage checkpoint,M1,1,0
1,-2.1,GO:0090603,sieve element differentiation,M1,1,0
1,-5.1,GO:0000076,DNA replication checkpoint,M1,1,0
