_MEMBER_WS_c1_which_mclass____4___1_,_LogP_WS_c1_which_mclass____4___1_,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.9,GO:0098657,import into cell,M1,1,0
1,-2.5,GO:0044265,cellular macromolecule catabolic process,M1,1,0
1,-2.4,GO:0035196,production of miRNAs involved in gene silencing by miRNA,M1,1,0
1,-3.7,GO:0009892,negative regulation of metabolic process,M1,1,0
1,-3.5,GO:0016482,cytosolic transport,M1,1,0
1,-2.4,GO:0048831,regulation of shoot system development,M1,1,0
1,-2.4,GO:1902475,L-alpha-amino acid transmembrane transport,M1,1,0
1,-4.1,GO:0010629,negative regulation of gene expression,M1,1,0
1,-2.5,GO:1905393,plant organ formation,M1,1,0
1,-8.1,GO:0016192,vesicle-mediated transport,M1,1,0
1,-2.5,GO:0043666,regulation of phosphoprotein phosphatase activity,M1,1,0
1,-2.6,GO:0010558,negative regulation of macromolecule biosynthetic process,M1,1,0
1,-2,GO:0072666,establishment of protein localization to vacuole,M1,1,0
1,-2.9,GO:0000302,response to reactive oxygen species,M1,1,0
1,-8,GO:0070727,cellular macromolecule localization,M1,1,0
1,-3.3,GO:0043484,regulation of RNA splicing,M1,1,0
1,-2.1,GO:1902347,response to strigolactone,M1,1,0
1,-3.2,GO:0009416,response to light stimulus,M1,1,0
1,-2.9,GO:0006997,nucleus organization,M1,1,0
1,-3.7,GO:2000037,regulation of stomatal complex patterning,M1,1,0
1,-2.2,GO:0035266,meristem growth,M1,1,0
1,-9,GO:0045184,establishment of protein localization,M1,1,0
1,-2.4,GO:0035556,intracellular signal transduction,M1,1,0
1,-2.7,GO:1905392,plant organ morphogenesis,M1,1,0
1,-5.5,ko03040,Spliceosome,M1,1,0
1,-2.8,GO:0010200,response to chitin,M1,1,0
1,-3.3,GO:0009611,response to wounding,M1,1,0
1,-2.7,GO:1901698,response to nitrogen compound,M1,1,0
1,-2.6,GO:1902065,response to L-glutamate,M1,1,0
1,-2.1,GO:0009606,tropism,M1,1,0
1,-5.6,GO:0006397,mRNA processing,M1,1,0
1,-2,GO:0016458,gene silencing,M1,1,0
1,-2.4,GO:0051131,chaperone-mediated protein complex assembly,M1,1,0
1,-2,GO:0010817,regulation of hormone levels,M1,1,0
1,-4.6,GO:0042493,response to drug,M1,1,0
1,-2.3,GO:0002697,regulation of immune effector process,M1,1,0
1,-3.8,GO:0045892,"negative regulation of transcription, DNA-templated",M1,1,0
1,-2,GO:1903311,regulation of mRNA metabolic process,M1,1,0
1,-3.8,GO:0006892,post-Golgi vesicle-mediated transport,M1,1,0
1,-3,GO:0006403,RNA localization,M1,1,0
1,-3.6,GO:0071456,cellular response to hypoxia,M1,1,0
1,-2,GO:0033044,regulation of chromosome organization,M1,1,0
1,-3.2,ko03018,RNA degradation,M1,1,0
1,-2.9,GO:0044764,multi-organism cellular process,M1,1,0
1,-2.5,GO:0031327,negative regulation of cellular biosynthetic process,M1,1,0
1,-2.1,GO:0002252,immune effector process,M1,1,0
1,-2,GO:0006520,cellular amino acid metabolic process,M1,1,0
1,-3.1,GO:0006508,proteolysis,M1,1,0
1,-2.4,ath00270,Cysteine and methionine metabolism,M1,1,0
1,-2,GO:0009700,indole phytoalexin biosynthetic process,M1,1,0
1,-3.5,GO:0002682,regulation of immune system process,M1,1,0
1,-3.7,GO:0031053,primary miRNA processing,M1,1,0
1,-3.3,GO:0010605,negative regulation of macromolecule metabolic process,M1,1,0
1,-2.5,GO:0050658,RNA transport,M1,1,0
1,-3.2,GO:0061025,membrane fusion,M1,1,0
1,-2.9,GO:0018105,peptidyl-serine phosphorylation,M1,1,0
1,-2.8,GO:0034063,stress granule assembly,M1,1,0
1,-2.8,GO:0009067,aspartate family amino acid biosynthetic process,M1,1,0
1,-2.1,ath03008,Ribosome biogenesis in eukaryotes,M1,1,0
1,-3.1,GO:0010243,response to organonitrogen compound,M1,1,0
1,-4.1,GO:0016071,mRNA metabolic process,M1,1,0
1,-2.4,GO:0072319,vesicle uncoating,M1,1,0
1,-2.1,GO:0010120,camalexin biosynthetic process,M1,1,0
1,-4.7,ko03013,RNA transport,M1,1,0
1,-4.6,GO:0051170,import into nucleus,M1,1,0
1,-2.4,GO:0070646,protein modification by small protein removal,M1,1,0
1,-4.1,GO:0044210,'de novo' CTP biosynthetic process,M1,1,0
1,-2.3,GO:0000338,protein deneddylation,M1,1,0
1,-3.2,GO:0090174,organelle membrane fusion,M1,1,0
1,-2.4,GO:0009908,flower development,M1,1,0
1,-2.5,GO:0051236,establishment of RNA localization,M1,1,0
1,-2.3,GO:0006605,protein targeting,M1,1,0
1,-2.9,GO:0060627,regulation of vesicle-mediated transport,M1,1,0
1,-3.8,GO:1903507,negative regulation of nucleic acid-templated transcription,M1,1,0
1,-2.4,GO:0035493,SNARE complex assembly,M1,1,0
1,-3,GO:0006979,response to oxidative stress,M1,1,0
1,-2.8,GO:0045324,late endosome to vacuole transport,M1,1,0
1,-4.7,GO:0033365,protein localization to organelle,M1,1,0
1,-3.4,GO:2000026,regulation of multicellular organismal development,M1,1,0
1,-3.9,GO:0000398,"mRNA splicing, via spliceosome",M1,1,0
1,-2.4,GO:0018193,peptidyl-amino acid modification,M1,1,0
1,-2,GO:0006325,chromatin organization,M1,1,0
1,-3.6,GO:0080134,regulation of response to stress,M1,1,0
1,-2.4,GO:0006623,protein targeting to vacuole,M1,1,0
1,-2.3,GO:1901605,alpha-amino acid metabolic process,M1,1,0
1,-2.1,GO:0016999,antibiotic metabolic process,M1,1,0
1,-3,GO:0051168,nuclear export,M1,1,0
1,-3.1,GO:0009294,DNA mediated transformation,M1,1,0
1,-2.6,GO:0048280,vesicle fusion with Golgi apparatus,M1,1,0
1,-2.4,ath04144,Endocytosis,M1,1,0
1,-2,GO:0007389,pattern specification process,M1,1,0
1,-9,GO:0015031,protein transport,M1,1,0
1,-2.7,GO:0042147,"retrograde transport, endosome to Golgi",M1,1,0
1,-3,GO:0048583,regulation of response to stimulus,M1,1,0
